customer_id,name,age,city,join_date,email,phone
CUST_0084,Mr. Justin Green III,47.0,Aswan,2025-02-20,wendymitchell@example.com,712.317.2715
CUST_0085,Donna Evans,34.0,Aswan,2022-09-07,laurahicks@example.org,923.470.5895
CUST_0086,Angelica Parker,73.0,Cairo,2025-06-01,khammond@example.org,(451)477-8528
CUST_0087,Thomas Brown,61.0,Mansoura,2022-05-26,kevinmartin@example.net,458.641.4384
CUST_0088,Anna Davidson,25.0,Mansoura,2026-04-14,georgeweber@example.net,690-601-0943x96
CUST_0089,Dr. Michael Evans,74.0,,2021-12-18,moorerobert@example.com,759.325.5562
CUST_0090,John Adams,66.0,Giza,2023-06-15,colinroberts@example.com,+1-963-625-9532
CUST_0091,Brandon Long MD,67.0,Mansoura,2023-05-23,brandywilliams@example.com,297.848.0162x45
CUST_0092,Justin Cox,39.0,Cairo,2023-10-19,hughesshannon@example.net,599-812-1655x85
CUST_0093,Amber Taylor,36.0,Luxor,2024-03-05,jstone@example.net,925.695.2694x95
CUST_0094,Alan Rivera,28.0,Luxor,2022-04-11,ysilva@example.net,001-809-474-993
CUST_0095,Dana Armstrong,18.0,Mansoura,2022-04-12,andrewedwards@example.org,(836)789-7028x3
CUST_0096,Julia Patel,74.0,Mansoura,2025-12-28,erica49@example.com,934.784.3443
CUST_0097,Justin Michael,34.0,Aswan,2023-09-02,david86@example.com,(624)604-1574x7
CUST_0098,Luis Matthews,66.0,Alexandria,2023-05-29,santiagoamanda@example.net,401.865.7120
CUST_0099,Shirley Alvarez,50.0,Cairo,2023-01-15,manuel01@example.net,001-938-402-620
CUST_0100,Tonya Howe,73.0,Mansoura,2021-08-30,evanscarrie@example.com,978-687-2874x31
CUST_0101,Alexis Rogers,37.0,Mansoura,2023-11-08,gregorychase@example.com,(585)916-1227x5
CUST_0102,Tiffany Turner,50.0,Aswan,2026-03-20,greenmichael@example.org,6177426841
CUST_0103,Colleen Anderson,30.0,Alexandria,2022-08-24,madkins@example.com,(387)283-3918x7
CUST_0104,Stephanie Harris,41.0,Alexandria,2025-11-28,franklinbond@example.com,439-871-8707
CUST_0105,Anthony Ford,52.0,Aswan,2023-12-19,fosterlisa@example.net,391.906.5180
CUST_0106,Jason Mack,18.0,Aswan,2024-12-02,victoria67@example.com,(218)625-1286x8
CUST_0107,Nathan Coleman,38.0,,2024-07-27,johnreed@example.com,310.269.0331
CUST_0108,Michael Brennan,19.0,Cairo,2023-06-05,moralesjimmy@example.org,001-502-884-395
CUST_0109,Antonio Fry,41.0,Giza,2022-11-01,dpeters@example.com,+1-568-656-6246
CUST_0110,Brianna Ford,33.0,Cairo,2021-11-01,jfaulkner@example.net,(363)543-5175
CUST_0111,James Jacobs,33.0,Aswan,2021-09-05,lopezkathleen@example.net,+1-583-873-5403
CUST_0112,Kristen Rowe,23.0,Cairo,2024-07-31,wferguson@example.com,258-577-1753x55
CUST_0113,Alexis Tran,64.0,Luxor,2026-04-24,mphillips@example.com,969.937.8547
CUST_0114,Robert Jackson,70.0,Cairo,2025-12-29,iwhite@example.net,3804100623
CUST_0115,Jonathan Brooks,66.0,Aswan,2025-06-15,ismith@example.net,(400)584-8408x6
CUST_0116,Joseph Ochoa,67.0,Alexandria,2023-08-14,zmiller@example.com,001-833-941-016
CUST_0117,Adam Jackson,26.0,Mansoura,2025-08-06,vnewman@example.net,380-633-9740
CUST_0118,Kristy Johnson,48.0,Aswan,2024-01-08,alibrenda@example.net,(714)229-3968x5
CUST_0119,David Jones,28.0,Giza,2024-09-19,anthony47@example.com,658.566.2961
CUST_0120,Angela Moore,51.0,Aswan,2022-08-28,gstewart@example.org,8479541212
CUST_0121,Kayla Garcia,45.0,Alexandria,2022-02-08,angela99@example.com,(404)666-1839x8
CUST_0122,Johnny Brown,52.0,Mansoura,2025-01-15,robert71@example.com,737-899-3712x40
CUST_0123,Erin Cook,62.0,Alexandria,2022-07-02,malik37@example.com,(665)847-9356
CUST_0124,Timothy Gonzalez,63.0,Giza,2025-12-26,erinpierce@example.net,837.841.6724x34
CUST_0125,William Mendoza,43.0,Mansoura,2024-10-02,ystephens@example.com,001-789-811-352
CUST_0126,Brett Walker,59.0,Giza,2025-10-03,seanmyers@example.net,001-382-350-714
CUST_0127,Monica Bailey,46.0,Aswan,2024-04-05,hmueller@example.com,(371)477-5140x1
CUST_0128,Natalie Black,46.0,Cairo,2026-01-14,marksimmons@example.com,962.826.6093
CUST_0129,Michael Harris,33.0,Alexandria,2021-11-16,lloydamanda@example.com,737-714-7859x69
CUST_0130,Lisa Cervantes,22.0,Giza,2023-11-16,powerslawrence@example.org,412-952-8669x29
CUST_0131,Melissa Brewer,19.0,Aswan,2022-10-26,tracytaylor@example.com,890.950.7236x88
CUST_0132,Ryan Burns,53.0,Alexandria,2022-01-17,flynnjeffrey@example.org,338-642-7978x81
CUST_0133,Samantha Richardson,55.0,Alexandria,2021-09-12,bpayne@example.org,001-734-807-451
CUST_0134,Charles Clark,18.0,Cairo,2023-02-07,hudsonamanda@example.net,+1-425-844-9481
CUST_0135,Wendy Camacho,63.0,Mansoura,2022-06-04,johndawson@example.org,001-767-929-466
CUST_0136,Erin Smith,21.0,Alexandria,2022-02-19,sreid@example.com,686-736-3745
CUST_0137,Bianca Phelps,22.0,Cairo,2024-04-07,williamsconnie@example.com,6124770632
CUST_0138,Sherri Davis,73.0,Giza,2024-05-29,christopher20@example.com,+1-943-261-1037
CUST_0139,Greg Martinez,22.0,Aswan,2024-12-08,timperez@example.org,001-211-455-426
CUST_0140,Nathan Fuller,33.0,Giza,2022-08-19,cjensen@example.org,412-519-6565
CUST_0141,Bradley Tran,60.0,Luxor,2023-10-08,abbottdominique@example.com,989.883.6403
CUST_0142,Jonathan Wheeler,31.0,Aswan,2025-11-02,hatfieldsarah@example.org,(596)258-2710x9
CUST_0143,Tiffany Sanders,26.0,Mansoura,2023-10-13,zhenderson@example.org,+1-788-892-4141
CUST_0144,Pamela Santos,74.0,Aswan,2021-11-27,holly30@example.org,361-279-9042
CUST_0145,Meredith Martin,54.0,Luxor,2024-04-17,gary24@example.net,305-964-8149
CUST_0146,Ian Porter,33.0,Luxor,2026-03-02,michaelscott@example.org,001-913-780-003
CUST_0147,Chris Velazquez,69.0,Luxor,2021-08-23,pwalker@example.com,001-854-319-518
CUST_0148,Sharon Ayala,30.0,Cairo,2023-12-27,christopher70@example.com,949.549.3759
CUST_0149,Kimberly Flynn,24.0,Mansoura,2022-08-16,randolphandrew@example.net,(205)406-4138x3
CUST_0150,Anna Morse,45.0,Giza,2025-10-06,xhaynes@example.com,001-519-618-261
CUST_0151,Ethan Owen,45.0,Luxor,2024-02-13,shawn31@example.org,(891)321-2775
CUST_0152,Traci Clark,47.0,Mansoura,2023-12-19,hbaker@example.org,(749)803-5213
CUST_0153,Megan Green,21.0,Mansoura,2022-10-28,cranemelissa@example.net,001-883-717-121
CUST_0154,Teresa Miller,59.0,Mansoura,2026-05-01,samantha10@example.org,472.815.1070
CUST_0155,Jennifer Johnson,24.0,Cairo,2024-12-21,michaelodonnell@example.com,972-209-9934x76
CUST_0156,James Barnes,43.0,Mansoura,2025-10-25,crystalpham@example.org,(757)587-5985x6
CUST_0157,Robert Campbell,39.0,Cairo,2025-05-10,katie32@example.org,434.480.3965
CUST_0158,Evan Rojas,33.0,Alexandria,2024-05-24,warnermichael@example.net,001-229-337-842
CUST_0159,Kyle Smith,30.0,Aswan,2025-05-30,riverachristina@example.org,325-700-2921x85
CUST_0160,Chad Moore,46.0,Alexandria,2025-01-22,lbanks@example.net,+1-495-439-2644
CUST_0161,Tiffany Fry,45.0,Alexandria,2024-09-03,whitelucas@example.net,791.472.5135
CUST_0162,Tracey Underwood,35.0,Luxor,2024-03-14,nsmith@example.org,001-915-841-006
CUST_0163,James Poole,33.0,Cairo,2026-04-05,franciscojones@example.org,705-941-1526x21
CUST_0164,Jessica Valdez,46.0,Aswan,2025-01-14,brianrivera@example.org,(288)744-4310x6
CUST_0165,Brandon Colon,24.0,Cairo,2025-06-06,collinclark@example.net,717-814-6774x18
CUST_0166,Jeremy Baker,59.0,Aswan,2025-04-19,jeremy49@example.org,(211)858-6938
CUST_0167,Jennifer Nichols,71.0,Cairo,2025-05-20,thomasmiller@example.net,4894899217
CUST_0168,Rhonda Martinez,23.0,Alexandria,2024-12-11,mcneilryan@example.net,(794)651-1686
CUST_0169,Sylvia Smith,28.0,Luxor,2026-05-05,jrodriguez@example.org,001-799-811-914
CUST_0170,Matthew Armstrong,49.0,Luxor,2025-05-14,jacksonrichard@example.net,+1-660-665-3074
CUST_0171,John Horton,31.0,Luxor,2022-03-07,dennismccann@example.com,001-454-369-137
CUST_0172,Jonathon Taylor,75.0,Cairo,2025-10-20,thompsonnancy@example.org,9308705345
CUST_0173,Becky Johnson,28.0,Luxor,2024-07-06,lwheeler@example.com,001-885-252-414
CUST_0174,Kenneth Hanna,18.0,Luxor,2023-03-24,ericaadams@example.com,800.772.2903x49
CUST_0175,Daniel Turner,34.0,Luxor,2025-10-09,asilva@example.net,+1-658-699-4417
CUST_0176,Joseph Allen,36.0,Luxor,2021-10-29,rguerrero@example.org,001-507-944-666
CUST_0177,Megan Romero,62.0,Mansoura,2022-10-16,kellyruiz@example.net,682-651-3534x65
CUST_0178,Bruce Brown,,Aswan,2026-04-23,kennedyjames@example.org,+1-768-446-0223
CUST_0179,Katherine Welch,60.0,Mansoura,2022-11-06,cynthia07@example.com,829.827.1296
CUST_0180,John Smith,49.0,Alexandria,2025-11-19,jessicadodson@example.com,001-683-400-335
CUST_0181,Angel Fry,30.0,Giza,2025-03-22,ryan25@example.com,(432)360-3323x0
CUST_0182,Matthew Johnson,31.0,Cairo,2023-07-09,wheelerbrandon@example.org,+1-200-616-7618
CUST_0183,Brian Meyer,,Mansoura,2022-07-06,grivas@example.net,001-791-841-173
CUST_0184,Andrew Crawford,52.0,Cairo,2023-02-10,arivera@example.org,+1-611-997-2181
CUST_0185,Robert Sawyer,65.0,Giza,2023-10-25,laurie56@example.net,610-302-2557
CUST_0186,Grant Wilson,21.0,Cairo,2024-09-30,ynelson@example.net,462.812.0216x97
CUST_0187,Lisa Huffman,55.0,Luxor,2022-06-15,hknapp@example.com,301.845.0899x35
CUST_0188,Danielle Reed,50.0,Aswan,2024-08-13,marygrant@example.net,7025877217
CUST_0189,Donald Hunter,28.0,Cairo,2026-01-10,ppowell@example.org,879.871.7751x70
CUST_0190,Joshua Petersen,50.0,Cairo,2023-12-08,diamondbryant@example.com,(303)575-8997x5
CUST_0191,Henry Schultz,72.0,Alexandria,2023-10-30,jacqueline02@example.com,(561)949-3316
CUST_0192,Cheryl Morgan,22.0,Aswan,2024-11-13,housemary@example.net,277-898-2708
CUST_0193,Karen Romero,22.0,Mansoura,2022-11-07,jessicaanderson@example.com,+1-499-458-6693
CUST_0194,Michael Goodman,73.0,Alexandria,2023-11-20,jennifer83@example.org,394.752.2885
CUST_0195,Lauren Bender,43.0,Cairo,2024-11-23,natalie60@example.net,606-620-0342
CUST_0196,Antonio Mueller,,Aswan,2023-01-29,howardshaun@example.net,+1-283-286-3840
CUST_0197,Christina Melton,33.0,Aswan,2025-02-10,rhondabush@example.net,(398)893-3472x1
CUST_0198,Douglas Baker,56.0,Cairo,2022-09-17,adam72@example.org,(759)309-4798
CUST_0199,Emily Robinson,57.0,Cairo,2022-11-28,hartmanerik@example.net,+1-661-553-3555
CUST_0200,Lisa Wells,44.0,Mansoura,2026-02-13,wilsonmichael@example.org,+1-799-930-5616
